layout,role,positionY,height,bottom_pct,line_top_pct,delta_pct,verdict
short-single,42953a09-f2cf-4745-8b57-0e9c95d7c5be,45.0282,8.0000,53.0282,53.0282,0.0000,PASS
medium-single,71d0ce53-7371-4095-bd76-fd364fef6cc9,48.8161,8.0000,56.8161,56.8161,0.0000,PASS
near-page-bottom-single,1076b214-efd5-4cf5-8f17-777a4e71a9cb,23.0585,8.0000,31.0585,31.0585,0.0000,PASS
page-two-single,ba9c2d46-ad19-496c-82e3-686cf83e550c,18.5130,8.0000,26.5130,26.5130,0.0000,PASS
dual-long-labels,f8797eaa-e23c-4905-a7c8-87f1bccb2805,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
dual-long-labels,b9697740-9878-4ddd-b882-99ed7eb9a40e,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,7fe012c3-e9c8-45fc-a8d7-7624ee5e50c4,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,902962b7-ea94-4ccd-aa6b-7b4b029e756e,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,f5e2ad49-e91f-4932-bf80-be816152017f,27.8565,8.0000,35.8565,35.8565,0.0000,PASS
quad-grid-long-content,078fa727-58e2-4496-80b0-b80706df0f85,27.8565,8.0000,35.8565,35.8565,0.0000,PASS
image-consent-single,0ddb14d3-0943-4ec1-9daa-d1e9e75fe399,29.1191,8.0000,37.1191,37.1191,0.0000,PASS
