layout,role,positionY,height,bottom_pct,line_top_pct,delta_pct,verdict
short-single,e4026c9d-9aff-42fc-9565-6bcf9635f79b,45.0282,8.0000,53.0282,53.0282,0.0000,PASS
medium-single,37533c9f-c42e-4886-9526-1cb2710d14ab,48.8161,8.0000,56.8161,56.8161,0.0000,PASS
near-page-bottom-single,f13412f6-2c3c-452a-a0b0-780f3d3bad91,23.0585,8.0000,31.0585,31.0585,0.0000,PASS
page-two-single,d0721133-81ab-4ae9-8d42-52fcb5cff60c,18.5130,8.0000,26.5130,26.5130,0.0000,PASS
dual-long-labels,2bec0c3b-1ebc-4c83-9bac-33af96d46ea5,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
dual-long-labels,6b5bac38-a289-41a2-9e12-c708aff1ea62,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,b06c44f8-da4a-44dd-a1e1-3d33f685cc29,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,84d4b662-c40e-4b91-9ed0-59bce9884093,7.1494,8.0000,15.1494,15.1494,0.0000,PASS
quad-grid-long-content,5169e195-bbf9-4800-8401-8fb8f9720e20,27.8565,8.0000,35.8565,35.8565,0.0000,PASS
quad-grid-long-content,44ad4103-e92c-4aa2-981a-1206bb595aa3,27.8565,8.0000,35.8565,35.8565,0.0000,PASS
